yr,gen,block,plot,row,col,fy
H01,MK01,B1,MK01B1,1,13,1.341607143
H01,MK02,B1,MK02B1,1,1,16.84443179
H01,MK03,B1,MK03B1,1,18,3.296743518
H01,MK04,B1,MK04B1,1,9,5.145698612
H01,MK05,B1,MK05B1,1,10,5.038143939
H01,MK06,B1,MK06B1,1,16,2.755303968
H01,MK07,B1,MK07B1,1,22,3.608892874
H01,MK08,B1,MK08B1,1,20,2.143248378
H01,MK09,B1,MK09B1,1,23,0.894317747
H01,MK10,B1,MK10B1,1,4,10.37016566
H01,MK11,B1,MK11B1,1,3,3.07648976
H01,MK12,B1,MK12B1,1,19,2.198750617
H01,MK13,B1,MK13B1,1,24,1.601442896
H01,MK14,B1,MK14B1,1,14,3.311509793
H01,MK15,B1,MK15B1,1,7,4.096261303
H01,MK16,B1,MK16B1,1,6,0
H01,MK17,B1,MK17B1,1,2,4.266124542
H01,MK18,B1,MK18B1,1,25,2.584732275
H01,MK19,B1,MK19B1,1,21,2.704318613
H01,MK20,B1,MK20B1,1,5,3.156323233
H01,MK21,B1,MK21B1,1,8,4.834099868
H01,MK22,B1,MK22B1,1,17,2.978190477
H01,MK23,B1,MK23B1,1,15,5.818841269
H01,MK24,B1,MK24B1,1,11,9.775476946
H01,MK25,B1,MK25B1,1,12,3.615395144
H01,MK01,B2,MK01B2,2,20,0
H01,MK02,B2,MK02B2,2,2,7.342444626
H01,MK03,B2,MK03B2,2,3,7.535413756
H01,MK04,B2,MK04B2,2,11,5.613489394
H01,MK05,B2,MK05B2,2,15,3.022886364
H01,MK06,B2,MK06B2,2,18,3.214521296
H01,MK07,B2,MK07B2,2,22,1.603952388
H01,MK08,B2,MK08B2,2,19,0
H01,MK09,B2,MK09B2,2,13,2.01221493
H01,MK10,B2,MK10B2,2,9,6.794246464
H01,MK11,B2,MK11B2,2,10,0
H01,MK12,B2,MK12B2,2,12,3.298125926
H01,MK13,B2,MK13B2,2,7,6.405771582
H01,MK14,B2,MK14B2,2,5,4.730728276
H01,MK15,B2,MK15B2,2,17,2.048130652
H01,MK16,B2,MK16B2,2,14,2.231696209
H01,MK17,B2,MK17B2,2,16,0
H01,MK18,B2,MK18B2,2,25,3.877098413
H01,MK19,B2,MK19B2,2,21,1.158993691
H01,MK20,B2,MK20B2,2,1,10.25805051
H01,MK21,B2,MK21B2,2,4,5.273563492
H01,MK22,B2,MK22B2,2,23,1.861369048
H01,MK23,B2,MK23B2,2,6,4.476031746
H01,MK24,B2,MK24B2,2,8,10.62551842
H01,MK25,B2,MK25B2,2,24,3.615395144
H01,MK01,B3,MK01B3,3,10,4.919226191
H01,MK02,B3,MK02B3,3,16,4.750993582
H01,MK03,B3,MK03B3,3,11,6.122523677
H01,MK04,B3,MK04B3,3,20,3.742326263
H01,MK05,B3,MK05B3,3,3,2.51907197
H01,MK06,B3,MK06B3,3,14,1.377651984
H01,MK07,B3,MK07B3,3,13,3.207904777
H01,MK08,B3,MK08B3,3,2,4.01859071
H01,MK09,B3,MK09B3,3,1,0
H01,MK10,B3,MK10B3,3,6,0.357591919
H01,MK11,B3,MK11B3,3,17,0
H01,MK12,B3,MK12B3,3,9,4.122657407
H01,MK13,B3,MK13B3,3,19,0
