env	gen	block	dbh	pil
S1	C001	1	12.8	15
S1	C001	2	12.2	15
S1	C001	3	11.2	15
S1	C001	4	13.1	9
S1	C001	5	13.6	13
S1	C001	6	NA	NA
S1	C001	7	14.3	14
S1	C001	8	13.8	15
S1	C001	9	NA	NA
S1	C001	10	9.5	15
S1	C001	11	11.4	12
S1	C001	12	NA	NA
S1	C001	13	13.7	13
S1	C001	14	15.9	8
S1	C001	15	NA	NA
S1	C001	16	14.5	11
S1	C001	17	15.9	10
S1	C001	18	10.3	13
S1	C001	19	8.9	13
S1	C001	20	11.2	14
S1	C001	21	16.1	11
S1	C001	22	12.7	13
S1	C001	23	12.3	11
S1	C001	24	11.9	16
S1	C001	25	12.9	11
S1	C001	26	12.5	15
S1	C001	27	11.8	14
S1	C001	28	16	12
S1	C001	29	NA	NA
S1	C001	30	9.7	12
S1	C002	1	17.2	18
S1	C002	2	15.6	18
S1	C002	3	15.5	14
S1	C002	4	NA	NA
S1	C002	5	15.3	19
S1	C002	6	14.3	18
S1	C002	7	14.5	17
S1	C002	8	16	14
S1	C002	9	14.8	17
S1	C002	10	15.9	17
S1	C002	11	16.4	13
S1	C002	12	16	13
S1	C002	13	18.1	15
S1	C002	14	11.7	13
S1	C002	15	13.9	15
S1	C002	16	15	14
S1	C002	17	15.6	14
S1	C002	18	NA	NA
S1	C002	19	15.3	17
S1	C002	20	17.2	14
S1	C002	21	14.6	17
S1	C002	22	13.4	18
S1	C002	23	16.2	17
S1	C002	24	16.9	19
S1	C002	25	14.5	19
S1	C002	26	17.3	17
S1	C002	27	16.2	18
S1	C002	28	18	16
S1	C002	29	16.6	19
S1	C002	30	16	18
S1	C003	1	12.9	15
S1	C003	2	13.2	13
S1	C003	3	13.3	14
S1	C003	4	14	17
S1	C003	5	15.4	15
S1	C003	6	16.2	13
S1	C003	7	13.7	16
S1	C003	8	16.8	15
S1	C003	9	NA	NA
S1	C003	10	15.1	15
S1	C003	11	9.5	13
S1	C003	12	NA	NA
S1	C003	13	16.5	12
S1	C003	14	15.7	10
S1	C003	15	15.3	12
S1	C003	16	15.5	12
S1	C003	17	14.3	14
S1	C003	18	14.5	14
S1	C003	19	NA	NA
S1	C003	20	NA	NA
S1	C003	21	NA	NA
S1	C003	22	15.9	13
S1	C003	23	14	17
S1	C003	24	NA	NA
S1	C003	25	NA	NA
S1	C003	26	14.6	15
S1	C003	27	15	16
S1	C003	28	15.5	12
S1	C003	29	16.6	14
S1	C003	30	16.6	15
S1	C004	1	15.2	17
S1	C004	2	13.2	16
S1	C004	3	11.3	13
S1	C004	4	14.6	14
S1	C004	5	NA	NA
S1	C004	6	13.8	13
S1	C004	7	7	14
S1	C004	8	15.4	14
S1	C004	9	14.3	14
S1	C004	10	12.1	15
S1	C004	11	NA	NA
S1	C004	12	NA	NA
S1	C004	13	NA	NA
S1	C004	14	16	9
S1	C004	15	NA	NA
S1	C004	16	14	15
S1	C004	17	15.4	12
S1	C004	18	NA	NA
S1	C004	19	NA	NA
S1	C004	20	15	13
S1	C004	21	17	13
S1	C004	22	15.4	14
S1	C004	23	NA	NA
S1	C004	24	16.1	14
S1	C004	25	4.6	17
S1	C004	26	NA	NA
S1	C004	27	15.7	14
S1	C004	28	15.8	12
S1	C004	29	11.8	16
S1	C004	30	NA	NA
S1	C005	1	10.9	18
S1	C005	2	17.3	17
S1	C005	3	NA	NA
S1	C005	4	NA	NA
S1	C005	5	13.7	15
S1	C005	6	10.1	14
S1	C005	7	15.3	17
S1	C005	8	14.4	17
S1	C005	9	13.7	15
S1	C005	10	13.7	12
S1	C005	11	17.2	9
S1	C005	12	14.7	11
S1	C005	13	15.7	10
S1	C005	14	15.3	10
S1	C005	15	17.3	11
S1	C005	16	17.1	14
S1	C005	17	14.9	13
